id	comentario	supermercado	fecha
4	Apoyo a tiendas.ara por cuidar nuestra salud. El personal de la salud son héroes. Pero deben ser héroes completos. Salvan vidas en clínicas y hospitales pero no pueden dañar el trabajo contaminando a la población en los supermercados. Deben descontaminarse y cambiarse la ropa al salir de los centros de salud. Con la ropa toda contaminada no se deben montar a un bus  taxi y mucho menos ir a un supermercado. Con los pies dañan todo el trabajo. No es DISCRIMINACIÓN.	Ara	1/04/2020
4	Cuándo domicilio???	Ara	1/04/2020
4	Donde puedo ver el horario de las tiendas ?	Ara	1/04/2020
4	Ojalá que todo salga bien para ustedes. He conocido las tiendas Pingo Doce (Portugal) del grupo económico de Ara. Realmente se siente el buen servicio y la calidad de los productos. Los buenos precios es lo mejor en estos momentos de cuarentena en Lisboa.	Ara	1/04/2020
4	Domicilios por favor. ¡Hola! Para ayudarte con tu solicitudpor favor bríndanos los siguientes datos. -Ciudad de residencia. -Teléfono. -Correo. ¡Estamos muy atentos!	Ara	1/04/2020
4	Qué medida están usando para los empleados usan tapabocas???	Ara	1/04/2020
4	A mi me han negado la entrada en 3 ocaciones y no era tiempo de cuarentena la atencien en tiendas ara es pesima discriminan a todo el mundo	Ara	1/04/2020
4	La medidas que toman es no dejar entrar médicos	Ara	1/04/2020
4	Me pueden pasa el piko y placa de los ARA de soledad	Ara	1/04/2020
4	Quien sabe que dia le toca comprar al que le termine el numero de la cédula en 1 y en 3?	Ara	1/04/2020
4	Sería muy bueno que implementaran el prototipo de la cabina de desinfección a bajo costo  se está implementando en la ciudad de Neiva en los supermercados de cadena esperamos que ustedes cómo uno de los supermercados con grandes tiendas aquí en nuestra ciudad de ibague realicen también esta gran labor.	Ara	1/04/2020
4	En el Ara del barrio Minuto de Dios Bogotá se pasan de irrespetuosos. Los vigilante y algunas cajeras creen que están atendiendo limosneros.	Ara	1/04/2020
4	Con tapaboca no hay problema pero deberían restringir el ingreso con guantes que es solo de uso hospitalario	Ara	1/04/2020
4	Me parece terrible que hoy en el ara de manga le pedí hace varios días fue mi novio con mi cédula y lo atendieron hoy que se supone es el día que me toca le pido el favor a mi madre que vaya y la dejaron entrar pero estando adentro le dice la jefa de la tienda de manera muy grosera que no la va atender se niega atenderla porque no es su cédula no se supone que las personas con síntomas de gripas y asociados al covid 19 deben estar aislados? Ósea debo presentarme yo misma para poder obtener algunas cosas de abastecimiento? Presentaré una queja en la súper intendencia de industria y comercio por esta negligencia! No vuelvo más a tiendas ARA	Ara	1/04/2020
4	No da seguridad el método de pago no hay pago por PSE y de entrada pide los datos privados de las tarjetas	Ara	1/04/2020
4	No es seguro para el usuario	Ara	1/04/2020
4	Tienen servicio de domicilio en Santa Marta Magdalena	Ara	1/04/2020
